Machine ID,Machine Type,Operational Time,Maintenance Time,Cool Down Time
R277,AV Equipment,35,14,10
R278,Decoration,23,12,14
R279,AV Equipment,20,6,13
R280,Seating Arrangement,45,18,13
R281,Decoration,30,8,5
R282,Seating Arrangement,41,11,7
R283,AV Equipment,20,5,6
R284,Catering Service,39,10,9
R285,Catering Service,49,8,15
R286,Catering Service,32,15,12
R287,Conference Room,32,11,9
R288,Seating Arrangement,20,7,13
R289,Decoration,43,13,10
R290,AV Equipment,44,11,6
R291,Decoration,30,17,10
R292,Decoration,22,13,11
R293,Conference Room,48,11,14
R294,Catering Service,42,19,7
R295,Catering Service,32,20,13
R296,Decoration,24,9,6
R297,Seating Arrangement,34,10,12
R298,Decoration,37,16,5
R299,Catering Service,43,13,10
R300,AV Equipment,20,9,6
